32 by 167 matrix 	 5.19806 Gflop/s
32 by 166 matrix 	 5.23315 Gflop/s
32 by 165 matrix 	 5.27746 Gflop/s
32 by 164 matrix 	 5.35271 Gflop/s
32 by 163 matrix 	 5.41483 Gflop/s
32 by 162 matrix 	 5.48479 Gflop/s
32 by 161 matrix 	 5.61818 Gflop/s
32 by 160 matrix 	 5.79099 Gflop/s
32 by 159 matrix 	 5.82878 Gflop/s
32 by 158 matrix 	 5.82957 Gflop/s
32 by 157 matrix 	 5.72569 Gflop/s
32 by 156 matrix 	 5.72902 Gflop/s
32 by 155 matrix 	 5.79329 Gflop/s
32 by 154 matrix 	 5.89104 Gflop/s
32 by 153 matrix 	 5.98795 Gflop/s
32 by 152 matrix 	 5.98056 Gflop/s
32 by 151 matrix 	 5.80961 Gflop/s
32 by 150 matrix 	 5.59878 Gflop/s
32 by 149 matrix 	 5.45533 Gflop/s
32 by 148 matrix 	 5.35888 Gflop/s
32 by 147 matrix 	 5.34288 Gflop/s
32 by 146 matrix 	 5.3398 Gflop/s
32 by 145 matrix 	 5.33851 Gflop/s
32 by 144 matrix 	 5.38378 Gflop/s
32 by 143 matrix 	 5.5002 Gflop/s
32 by 142 matrix 	 5.67819 Gflop/s
32 by 141 matrix 	 5.93275 Gflop/s
32 by 140 matrix 	 6.23394 Gflop/s
32 by 139 matrix 	 6.52284 Gflop/s
32 by 138 matrix 	 6.89278 Gflop/s
32 by 137 matrix 	 7.27588 Gflop/s
32 by 136 matrix 	 7.63443 Gflop/s
32 by 135 matrix 	 7.90549 Gflop/s
32 by 134 matrix 	 8.12538 Gflop/s
32 by 133 matrix 	 8.25791 Gflop/s
32 by 132 matrix 	 8.32735 Gflop/s
32 by 131 matrix 	 8.50614 Gflop/s
32 by 130 matrix 	 8.59299 Gflop/s
32 by 129 matrix 	 8.66654 Gflop/s
32 by 128 matrix 	 8.81475 Gflop/s
32 by 127 matrix 	 8.85382 Gflop/s
32 by 126 matrix 	 8.92948 Gflop/s
32 by 125 matrix 	 8.81401 Gflop/s
32 by 124 matrix 	 8.84265 Gflop/s
32 by 123 matrix 	 8.96289 Gflop/s
32 by 122 matrix 	 8.81566 Gflop/s
32 by 121 matrix 	 8.78289 Gflop/s
32 by 120 matrix 	 8.83252 Gflop/s
32 by 119 matrix 	 8.74533 Gflop/s
32 by 118 matrix 	 8.83879 Gflop/s
32 by 117 matrix 	 8.84994 Gflop/s
32 by 116 matrix 	 8.65936 Gflop/s
32 by 115 matrix 	 8.70604 Gflop/s
32 by 114 matrix 	 8.91665 Gflop/s
32 by 113 matrix 	 8.81091 Gflop/s
32 by 112 matrix 	 9.01784 Gflop/s
32 by 111 matrix 	 8.98112 Gflop/s
32 by 110 matrix 	 8.93018 Gflop/s
32 by 109 matrix 	 8.90502 Gflop/s
32 by 108 matrix 	 9.09175 Gflop/s
32 by 107 matrix 	 8.99592 Gflop/s
32 by 106 matrix 	 8.9023 Gflop/s
32 by 105 matrix 	 9.0901 Gflop/s
32 by 104 matrix 	 9.01791 Gflop/s
32 by 103 matrix 	 8.97284 Gflop/s
32 by 102 matrix 	 9.03802 Gflop/s
32 by 101 matrix 	 8.91147 Gflop/s
32 by 100 matrix 	 8.95348 Gflop/s
32 by 99 matrix 	 9.12908 Gflop/s
32 by 98 matrix 	 8.93754 Gflop/s
32 by 97 matrix 	 8.94028 Gflop/s
32 by 96 matrix 	 9.12058 Gflop/s
32 by 95 matrix 	 8.81176 Gflop/s
32 by 94 matrix 	 8.91104 Gflop/s
32 by 93 matrix 	 9.00086 Gflop/s
32 by 92 matrix 	 8.91364 Gflop/s
32 by 91 matrix 	 8.8491 Gflop/s
32 by 90 matrix 	 9.05115 Gflop/s
32 by 89 matrix 	 8.89683 Gflop/s
32 by 88 matrix 	 8.91102 Gflop/s
32 by 87 matrix 	 9.03016 Gflop/s
32 by 86 matrix 	 8.86571 Gflop/s
32 by 85 matrix 	 8.87866 Gflop/s
32 by 84 matrix 	 9.08566 Gflop/s
32 by 83 matrix 	 8.85476 Gflop/s
32 by 82 matrix 	 8.86957 Gflop/s
32 by 81 matrix 	 8.8762 Gflop/s
32 by 80 matrix 	 8.88618 Gflop/s
32 by 79 matrix 	 8.90666 Gflop/s
32 by 78 matrix 	 9.03882 Gflop/s
32 by 77 matrix 	 8.83748 Gflop/s
32 by 76 matrix 	 8.85169 Gflop/s
32 by 75 matrix 	 9.04634 Gflop/s
32 by 74 matrix 	 8.80119 Gflop/s
32 by 73 matrix 	 8.87021 Gflop/s
32 by 72 matrix 	 9.00401 Gflop/s
32 by 71 matrix 	 8.77735 Gflop/s
32 by 70 matrix 	 8.87067 Gflop/s
32 by 69 matrix 	 8.92261 Gflop/s
32 by 68 matrix 	 8.58693 Gflop/s
32 by 67 matrix 	 8.7889 Gflop/s
32 by 66 matrix 	 8.77442 Gflop/s
32 by 65 matrix 	 8.84716 Gflop/s
32 by 64 matrix 	 8.79251 Gflop/s
32 by 63 matrix 	 8.94308 Gflop/s
32 by 62 matrix 	 8.57498 Gflop/s
32 by 61 matrix 	 8.55859 Gflop/s
32 by 60 matrix 	 8.79063 Gflop/s
32 by 59 matrix 	 8.72296 Gflop/s
32 by 58 matrix 	 8.42448 Gflop/s
32 by 57 matrix 	 8.728 Gflop/s
32 by 56 matrix 	 8.58421 Gflop/s
32 by 55 matrix 	 8.62074 Gflop/s
32 by 54 matrix 	 8.81311 Gflop/s
32 by 53 matrix 	 8.59605 Gflop/s
32 by 52 matrix 	 8.65414 Gflop/s
32 by 51 matrix 	 8.80322 Gflop/s
32 by 50 matrix 	 8.61736 Gflop/s
32 by 49 matrix 	 8.6279 Gflop/s
32 by 48 matrix 	 8.82097 Gflop/s
32 by 47 matrix 	 8.60361 Gflop/s
32 by 46 matrix 	 8.53472 Gflop/s
32 by 45 matrix 	 8.67588 Gflop/s
32 by 44 matrix 	 8.40681 Gflop/s
32 by 43 matrix 	 8.53368 Gflop/s
32 by 42 matrix 	 8.65687 Gflop/s
32 by 41 matrix 	 8.32742 Gflop/s
32 by 40 matrix 	 8.41295 Gflop/s
32 by 39 matrix 	 8.57916 Gflop/s
32 by 38 matrix 	 8.30231 Gflop/s
32 by 37 matrix 	 8.15798 Gflop/s
32 by 36 matrix 	 8.43388 Gflop/s
32 by 35 matrix 	 8.14146 Gflop/s
32 by 34 matrix 	 8.21028 Gflop/s
32 by 33 matrix 	 8.42762 Gflop/s
32 by 32 matrix 	 8.14385 Gflop/s
33 by 300 matrix 	 1.87681 Gflop/s
33 by 299 matrix 	 1.87777 Gflop/s
33 by 298 matrix 	 1.88194 Gflop/s
33 by 297 matrix 	 1.88016 Gflop/s
33 by 296 matrix 	 1.87988 Gflop/s
33 by 295 matrix 	 1.87484 Gflop/s
33 by 294 matrix 	 1.87949 Gflop/s
33 by 293 matrix 	 1.88172 Gflop/s
33 by 292 matrix 	 1.88263 Gflop/s
33 by 291 matrix 	 1.88964 Gflop/s
33 by 290 matrix 	 1.88789 Gflop/s
33 by 289 matrix 	 1.8915 Gflop/s
33 by 288 matrix 	 1.89936 Gflop/s
33 by 287 matrix 	 1.89904 Gflop/s
33 by 286 matrix 	 1.90658 Gflop/s
33 by 285 matrix 	 1.91864 Gflop/s
33 by 284 matrix 	 1.91285 Gflop/s
33 by 283 matrix 	 1.91563 Gflop/s
33 by 282 matrix 	 1.91174 Gflop/s
33 by 281 matrix 	 1.91321 Gflop/s
33 by 280 matrix 	 1.91683 Gflop/s
33 by 279 matrix 	 1.92467 Gflop/s
33 by 278 matrix 	 1.93686 Gflop/s
33 by 277 matrix 	 1.94658 Gflop/s
33 by 276 matrix 	 1.95337 Gflop/s
33 by 275 matrix 	 1.96421 Gflop/s
33 by 274 matrix 	 1.96914 Gflop/s
33 by 273 matrix 	 1.96066 Gflop/s
33 by 272 matrix 	 1.96585 Gflop/s
33 by 271 matrix 	 1.96829 Gflop/s
33 by 270 matrix 	 1.98145 Gflop/s
33 by 269 matrix 	 1.99338 Gflop/s
33 by 268 matrix 	 2.00145 Gflop/s
33 by 267 matrix 	 2.00784 Gflop/s
33 by 266 matrix 	 2.02597 Gflop/s
33 by 265 matrix 	 2.01214 Gflop/s
33 by 264 matrix 	 2.04045 Gflop/s
33 by 263 matrix 	 2.04602 Gflop/s
33 by 262 matrix 	 2.06337 Gflop/s
33 by 261 matrix 	 2.07638 Gflop/s
33 by 260 matrix 	 2.09412 Gflop/s
33 by 259 matrix 	 2.1034 Gflop/s
33 by 258 matrix 	 2.11377 Gflop/s
33 by 257 matrix 	 2.13097 Gflop/s
33 by 256 matrix 	 2.14649 Gflop/s
33 by 255 matrix 	 2.16222 Gflop/s
33 by 254 matrix 	 2.18496 Gflop/s
33 by 253 matrix 	 2.19955 Gflop/s
33 by 252 matrix 	 2.20599 Gflop/s
33 by 251 matrix 	 2.24575 Gflop/s
33 by 250 matrix 	 2.26424 Gflop/s
33 by 249 matrix 	 2.26388 Gflop/s
33 by 248 matrix 	 2.28055 Gflop/s
33 by 247 matrix 	 2.27714 Gflop/s
