32 by 167 matrix 	 5.1981 Gflop/s
32 by 166 matrix 	 5.25392 Gflop/s
32 by 165 matrix 	 5.29803 Gflop/s
32 by 164 matrix 	 5.36193 Gflop/s
32 by 163 matrix 	 5.42795 Gflop/s
32 by 162 matrix 	 5.50313 Gflop/s
32 by 161 matrix 	 5.61193 Gflop/s
32 by 160 matrix 	 5.81886 Gflop/s
32 by 159 matrix 	 5.85426 Gflop/s
32 by 158 matrix 	 5.8499 Gflop/s
32 by 157 matrix 	 5.74607 Gflop/s
32 by 156 matrix 	 5.69724 Gflop/s
32 by 155 matrix 	 5.768 Gflop/s
32 by 154 matrix 	 5.86914 Gflop/s
32 by 153 matrix 	 5.98198 Gflop/s
32 by 152 matrix 	 5.96239 Gflop/s
32 by 151 matrix 	 5.789 Gflop/s
32 by 150 matrix 	 5.58268 Gflop/s
32 by 149 matrix 	 5.47459 Gflop/s
32 by 148 matrix 	 5.37364 Gflop/s
32 by 147 matrix 	 5.35545 Gflop/s
32 by 146 matrix 	 5.35278 Gflop/s
32 by 145 matrix 	 5.36276 Gflop/s
32 by 144 matrix 	 5.40334 Gflop/s
32 by 143 matrix 	 5.52121 Gflop/s
32 by 142 matrix 	 5.71332 Gflop/s
32 by 141 matrix 	 5.97851 Gflop/s
32 by 140 matrix 	 6.18658 Gflop/s
32 by 139 matrix 	 6.42763 Gflop/s
32 by 138 matrix 	 6.84707 Gflop/s
32 by 137 matrix 	 7.33481 Gflop/s
32 by 136 matrix 	 7.70772 Gflop/s
32 by 135 matrix 	 7.98707 Gflop/s
32 by 134 matrix 	 8.21025 Gflop/s
32 by 133 matrix 	 8.35606 Gflop/s
32 by 132 matrix 	 8.5398 Gflop/s
32 by 131 matrix 	 8.74258 Gflop/s
32 by 130 matrix 	 8.81249 Gflop/s
32 by 129 matrix 	 8.95003 Gflop/s
32 by 128 matrix 	 9.01183 Gflop/s
32 by 127 matrix 	 8.98896 Gflop/s
32 by 126 matrix 	 9.05633 Gflop/s
32 by 125 matrix 	 9.10285 Gflop/s
32 by 124 matrix 	 9.11853 Gflop/s
32 by 123 matrix 	 9.16731 Gflop/s
32 by 122 matrix 	 9.16525 Gflop/s
32 by 121 matrix 	 9.17924 Gflop/s
32 by 120 matrix 	 9.20864 Gflop/s
32 by 119 matrix 	 9.1385 Gflop/s
32 by 118 matrix 	 9.19564 Gflop/s
32 by 117 matrix 	 9.21539 Gflop/s
32 by 116 matrix 	 9.15554 Gflop/s
32 by 115 matrix 	 9.18053 Gflop/s
32 by 114 matrix 	 9.21674 Gflop/s
32 by 113 matrix 	 9.1716 Gflop/s
32 by 112 matrix 	 9.20795 Gflop/s
32 by 111 matrix 	 9.22336 Gflop/s
32 by 110 matrix 	 9.16943 Gflop/s
32 by 109 matrix 	 9.15351 Gflop/s
32 by 108 matrix 	 9.22233 Gflop/s
32 by 107 matrix 	 9.17003 Gflop/s
32 by 106 matrix 	 9.18208 Gflop/s
32 by 105 matrix 	 9.20693 Gflop/s
32 by 104 matrix 	 9.14151 Gflop/s
32 by 103 matrix 	 9.1929 Gflop/s
32 by 102 matrix 	 9.20085 Gflop/s
32 by 101 matrix 	 9.16942 Gflop/s
32 by 100 matrix 	 9.16783 Gflop/s
32 by 99 matrix 	 9.19946 Gflop/s
32 by 98 matrix 	 9.13721 Gflop/s
32 by 97 matrix 	 9.1687 Gflop/s
32 by 96 matrix 	 9.18298 Gflop/s
32 by 95 matrix 	 9.10664 Gflop/s
32 by 94 matrix 	 9.16026 Gflop/s
32 by 93 matrix 	 9.16072 Gflop/s
32 by 92 matrix 	 9.0972 Gflop/s
32 by 91 matrix 	 9.12383 Gflop/s
32 by 90 matrix 	 9.15692 Gflop/s
32 by 89 matrix 	 9.10044 Gflop/s
32 by 88 matrix 	 9.114 Gflop/s
32 by 87 matrix 	 9.14198 Gflop/s
32 by 86 matrix 	 9.05732 Gflop/s
32 by 85 matrix 	 9.10216 Gflop/s
32 by 84 matrix 	 9.12862 Gflop/s
32 by 83 matrix 	 9.03851 Gflop/s
32 by 82 matrix 	 9.04272 Gflop/s
32 by 81 matrix 	 9.112 Gflop/s
32 by 80 matrix 	 9.02741 Gflop/s
32 by 79 matrix 	 9.08287 Gflop/s
32 by 78 matrix 	 9.0948 Gflop/s
32 by 77 matrix 	 9.01554 Gflop/s
32 by 76 matrix 	 9.07193 Gflop/s
32 by 75 matrix 	 9.08776 Gflop/s
32 by 74 matrix 	 8.98736 Gflop/s
32 by 73 matrix 	 9.02154 Gflop/s
32 by 72 matrix 	 9.06183 Gflop/s
32 by 71 matrix 	 9.02131 Gflop/s
32 by 70 matrix 	 9.00894 Gflop/s
32 by 69 matrix 	 9.03677 Gflop/s
32 by 68 matrix 	 8.93132 Gflop/s
32 by 67 matrix 	 9.00938 Gflop/s
32 by 66 matrix 	 9.01736 Gflop/s
32 by 65 matrix 	 8.9134 Gflop/s
32 by 64 matrix 	 8.94449 Gflop/s
32 by 63 matrix 	 8.99644 Gflop/s
32 by 62 matrix 	 8.87896 Gflop/s
32 by 61 matrix 	 8.94206 Gflop/s
32 by 60 matrix 	 8.98026 Gflop/s
32 by 59 matrix 	 8.88496 Gflop/s
32 by 58 matrix 	 8.93232 Gflop/s
32 by 57 matrix 	 8.95204 Gflop/s
32 by 56 matrix 	 8.39746 Gflop/s
32 by 55 matrix 	 8.88923 Gflop/s
32 by 54 matrix 	 8.92141 Gflop/s
32 by 53 matrix 	 8.85526 Gflop/s
32 by 52 matrix 	 8.67755 Gflop/s
32 by 51 matrix 	 8.86111 Gflop/s
32 by 50 matrix 	 8.74985 Gflop/s
32 by 49 matrix 	 8.77938 Gflop/s
32 by 48 matrix 	 8.82803 Gflop/s
32 by 47 matrix 	 8.68439 Gflop/s
32 by 46 matrix 	 8.76244 Gflop/s
32 by 45 matrix 	 8.81033 Gflop/s
32 by 44 matrix 	 8.64537 Gflop/s
32 by 43 matrix 	 8.70855 Gflop/s
32 by 42 matrix 	 8.73987 Gflop/s
32 by 41 matrix 	 8.5613 Gflop/s
32 by 40 matrix 	 8.40021 Gflop/s
32 by 39 matrix 	 8.69355 Gflop/s
32 by 38 matrix 	 8.50834 Gflop/s
32 by 37 matrix 	 8.28659 Gflop/s
32 by 36 matrix 	 8.67015 Gflop/s
32 by 35 matrix 	 8.45115 Gflop/s
32 by 34 matrix 	 8.30114 Gflop/s
32 by 33 matrix 	 8.55128 Gflop/s
32 by 32 matrix 	 8.44442 Gflop/s
33 by 300 matrix 	 1.88298 Gflop/s
33 by 299 matrix 	 1.88427 Gflop/s
33 by 298 matrix 	 1.89158 Gflop/s
33 by 297 matrix 	 1.89207 Gflop/s
33 by 296 matrix 	 1.8965 Gflop/s
33 by 295 matrix 	 1.89554 Gflop/s
33 by 294 matrix 	 1.89377 Gflop/s
33 by 293 matrix 	 1.89831 Gflop/s
33 by 292 matrix 	 1.89683 Gflop/s
33 by 291 matrix 	 1.90168 Gflop/s
33 by 290 matrix 	 1.90255 Gflop/s
33 by 289 matrix 	 1.89969 Gflop/s
33 by 288 matrix 	 1.90764 Gflop/s
33 by 287 matrix 	 1.90798 Gflop/s
33 by 286 matrix 	 1.91334 Gflop/s
33 by 285 matrix 	 1.91855 Gflop/s
33 by 284 matrix 	 1.91903 Gflop/s
33 by 283 matrix 	 1.92424 Gflop/s
33 by 282 matrix 	 1.93225 Gflop/s
33 by 281 matrix 	 1.93026 Gflop/s
33 by 280 matrix 	 1.93898 Gflop/s
33 by 279 matrix 	 1.94608 Gflop/s
33 by 278 matrix 	 1.95004 Gflop/s
33 by 277 matrix 	 1.95644 Gflop/s
33 by 276 matrix 	 1.96654 Gflop/s
33 by 275 matrix 	 1.97231 Gflop/s
33 by 274 matrix 	 1.97681 Gflop/s
33 by 273 matrix 	 1.97759 Gflop/s
33 by 272 matrix 	 1.98393 Gflop/s
33 by 271 matrix 	 1.98882 Gflop/s
33 by 270 matrix 	 1.99658 Gflop/s
33 by 269 matrix 	 2.01241 Gflop/s
33 by 268 matrix 	 2.01926 Gflop/s
33 by 267 matrix 	 2.02248 Gflop/s
33 by 266 matrix 	 2.0376 Gflop/s
